number	PRI.div.model	density	PRI.Psi	density	PRI.E.t	density	PRI.omega	density	PRI.cv	density
1	1	0.00476385	1	0.251386	0.00056411	42.9222	0	14.7596	0	1.27606
2	1.19219	0.0048668	1.00501	0.251668	0.000589397	44.4504	6.5233e-05	15.4538	0.00228623	1.28072
3	1.38438	0.00497056	1.01001	0.251824	0.000614684	46.0113	0.000130466	16.1718	0.00457246	1.28501
4	1.57658	0.0050751	1.01502	0.251855	0.000639971	47.6044	0.000195699	16.9138	0.00685868	1.28892
5	1.76877	0.00518038	1.02002	0.251758	0.000665258	49.2294	0.000260932	17.68	0.00914491	1.29247
6	1.96096	0.00528635	1.02503	0.251536	0.000690546	50.8859	0.000326165	18.4707	0.0114311	1.29565
7	2.15315	0.00539297	1.03003	0.251188	0.000715833	52.5733	0.000391398	19.2861	0.0137174	1.29847
8	2.34535	0.00550019	1.03504	0.250715	0.00074112	54.2912	0.000456631	20.1264	0.0160036	1.30092
9	2.53754	0.00560797	1.04004	0.250118	0.000766407	56.039	0.000521864	20.9917	0.0182898	1.30302
10	2.72973	0.00571627	1.04505	0.249397	0.000791694	57.8161	0.000587097	21.8821	0.0205761	1.30475
11	2.92192	0.00582502	1.05005	0.248554	0.000816981	59.6217	0.00065233	22.7977	0.0228623	1.30614
12	3.11411	0.00593418	1.05506	0.247589	0.000842268	61.455	0.000717563	23.7386	0.0251485	1.30717
13	3.30631	0.0060437	1.06006	0.246506	0.000867555	63.3153	0.000782796	24.7047	0.0274347	1.30786
14	3.4985	0.00615352	1.06507	0.245304	0.000892842	65.2018	0.000848029	25.696	0.029721	1.30821
15	3.69069	0.00626359	1.07007	0.243986	0.000918129	67.1134	0.000913262	26.7124	0.0320072	1.30823
16	3.88288	0.00637385	1.07508	0.242554	0.000943416	69.0493	0.000978495	27.7537	0.0342934	1.30791
17	4.07508	0.00648424	1.08008	0.24101	0.000968703	71.0084	0.00104373	28.8199	0.0365796	1.30727
18	4.26727	0.00659469	1.08509	0.239357	0.00099399	72.9896	0.00110896	29.9106	0.0388659	1.30632
19	4.45946	0.00670515	1.09009	0.237596	0.00101928	74.9918	0.00117419	31.0255	0.0411521	1.30506
20	4.65165	0.00681556	1.0951	0.235731	0.00104456	77.0138	0.00123943	32.1645	0.0434383	1.30349
21	4.84384	0.00692585	1.1001	0.233765	0.00106985	79.0543	0.00130466	33.327	0.0457246	1.30163
22	5.03604	0.00703595	1.10511	0.2317	0.00109514	81.1122	0.00136989	34.5127	0.0480108	1.29948
23	5.22823	0.0071458	1.11011	0.229539	0.00112043	83.1861	0.00143513	35.721	0.050297	1.29705
24	5.42042	0.00725533	1.11512	0.227285	0.00114571	85.2746	0.00150036	36.9515	0.0525832	1.29435
25	5.61261	0.00736447	1.12012	0.224942	0.001171	87.3764	0.00156559	38.2036	0.0548695	1.29138
26	5.8048	0.00747315	1.12513	0.222514	0.00119629	89.4899	0.00163082	39.4766	0.0571557	1.28816
27	5.997	0.0075813	1.13013	0.220003	0.00122157	91.6137	0.00169606	40.7699	0.0594419	1.2847
28	6.18919	0.00768884	1.13514	0.217413	0.00124686	93.7462	0.00176129	42.0827	0.0617282	1.281
29	6.38138	0.0077957	1.14014	0.214749	0.00127215	95.886	0.00182652	43.4142	0.0640144	1.27707
30	6.57357	0.00790181	1.14515	0.212013	0.00129744	98.0314	0.00189176	44.7636	0.0663006	1.27292
31	6.76577	0.00800709	1.15015	0.209209	0.00132272	100.181	0.00195699	46.1299	0.0685868	1.26857
32	6.95796	0.00811147	1.15516	0.206342	0.00134801	102.333	0.00202222	47.5122	0.0708731	1.26402
33	7.15015	0.00821488	1.16016	0.203416	0.0013733	104.485	0.00208746	48.9095	0.0731593	1.25929
34	7.34234	0.00831722	1.16517	0.200434	0.00139858	106.637	0.00215269	50.3208	0.0754455	1.25438
35	7.53453	0.00841844	1.17017	0.1974	0.00142387	108.786	0.00221792	51.7449	0.0777318	1.2493
36	7.72673	0.00851844	1.17518	0.194319	0.00144916	110.931	0.00228315	53.1806	0.080018	1.24406
37	7.91892	0.00861716	1.18018	0.191195	0.00147444	113.07	0.00234839	54.6268	0.0823042	1.23868
38	8.11111	0.00871452	1.18519	0.188031	0.00149973	115.201	0.00241362	56.0822	0.0845904	1.23317
39	8.3033	0.00881044	1.19019	0.184833	0.00152502	117.323	0.00247885	57.5454	0.0868767	1.22753
40	8.49549	0.00890483	1.1952	0.181604	0.00155031	119.433	0.00254409	59.0153	0.0891629	1.22178
41	8.68769	0.00899764	1.2002	0.178348	0.00157559	121.531	0.00260932	60.4903	0.0914491	1.21593
42	8.87988	0.00908877	1.20521	0.175069	0.00160088	123.615	0.00267455	61.969	0.0937354	1.20998
43	9.07207	0.00917816	1.21021	0.171772	0.00162617	125.682	0.00273979	63.4501	0.0960216	1.20396
44	9.26426	0.00926572	1.21522	0.168461	0.00165145	127.732	0.00280502	64.9319	0.0983078	1.19786
45	9.45646	0.00935139	1.22022	0.165139	0.00167674	129.763	0.00287025	66.4129	0.100594	1.19171
46	9.64865	0.0094351	1.22523	0.161812	0.00170203	131.772	0.00293548	67.8917	0.10288	1.18551
47	9.84084	0.00951676	1.23023	0.158482	0.00172732	133.759	0.00300072	69.3665	0.105166	1.17927
48	10.033	0.00959631	1.23524	0.155154	0.0017526	135.723	0.00306595	70.8359	0.107453	1.17301
49	10.2252	0.00967368	1.24024	0.151832	0.00177789	137.66	0.00313118	72.2981	0.109739	1.16672
50	10.4174	0.0097488	1.24525	0.14852	0.00180318	139.571	0.00319642	73.7516	0.112025	1.16043
51	10.6096	0.00982161	1.25025	0.145221	0.00182846	141.454	0.00326165	75.1945	0.114311	1.15415
52	10.8018	0.00989204	1.25526	0.141939	0.00185375	143.307	0.00332688	76.6254	0.116598	1.14788
53	10.994	0.00996002	1.26026	0.138678	0.00187904	145.129	0.00339212	78.0425	0.118884	1.14164
54	11.1862	0.0100255	1.26527	0.135442	0.00190432	146.92	0.00345735	79.4441	0.12117	1.13543
55	11.3784	0.0100884	1.27027	0.132234	0.00192961	148.677	0.00352258	80.8285	0.123456	1.12926
56	11.5706	0.0101487	1.27528	0.129058	0.0019549	150.399	0.00358781	82.194	0.125743	1.12315
57	11.7628	0.0102064	1.28028	0.125916	0.00198019	152.087	0.00365305	83.539	0.128029	1.1171
58	11.955	0.0102613	1.28529	0.122813	0.00200547	153.738	0.00371828	84.8618	0.130315	1.11112
59	12.1471	0.0103134	1.29029	0.119752	0.00203076	155.352	0.00378351	86.1607	0.132601	1.10522
60	12.3393	0.0103627	1.2953	0.116736	0.00205605	156.928	0.00384875	87.4341	0.134887	1.09942
61	12.5315	0.0104092	1.3003	0.113767	0.00208133	158.465	0.00391398	88.6804	0.137174	1.09371
62	12.7237	0.0104528	1.30531	0.11085	0.00210662	159.962	0.00397921	89.898	0.13946	1.08811
63	12.9159	0.0104934	1.31031	0.107986	0.00213191	161.42	0.00404445	91.0853	0.141746	1.08262
64	13.1081	0.010531	1.31532	0.10518	0.0021572	162.837	0.00410968	92.2409	0.144032	1.07725
65	13.3003	0.0105657	1.32032	0.102432	0.00218248	164.213	0.00417491	93.3631	0.146319	1.07201
66	13.4925	0.0105973	1.32533	0.0997476	0.00220777	165.548	0.00424014	94.4506	0.148605	1.06691
67	13.6847	0.0106259	1.33033	0.0971277	0.00223306	166.842	0.00430538	95.502	0.150891	1.06195
68	13.8769	0.0106514	1.33534	0.0945754	0.00225834	168.093	0.00437061	96.5158	0.153177	1.05714
69	14.0691	0.0106738	1.34034	0.092093	0.00228363	169.303	0.00443584	97.4908	0.155464	1.05249
70	14.2613	0.010693	1.34535	0.089683	0.00230892	170.471	0.00450108	98.4258	0.15775	1.048
71	14.4535	0.0107092	1.35035	0.0873477	0.0023342	171.597	0.00456631	99.3194	0.160036	1.04368
72	14.6456	0.0107223	1.35536	0.0850894	0.00235949	172.681	0.00463154	100.171	0.162322	1.03952
73	14.8378	0.0107322	1.36036	0.0829103	0.00238478	173.724	0.00469678	100.978	0.164608	1.03555
74	15.03	0.0107391	1.36537	0.0808125	0.00241007	174.726	0.00476201	101.741	0.166895	1.03176
75	15.2222	0.0107428	1.37037	0.0787982	0.00243535	175.686	0.00482724	102.459	0.169181	1.02815
76	15.4144	0.0107434	1.37538	0.0768691	0.00246064	176.607	0.00489247	103.13	0.171467	1.02473
77	15.6066	0.0107409	1.38038	0.0750275	0.00248593	177.487	0.00495771	103.754	0.173753	1.02151
78	15.7988	0.0107353	1.38539	0.073275	0.00251121	178.328	0.00502294	104.33	0.17604	1.01848
79	15.991	0.0107266	1.39039	0.0716136	0.0025365	179.13	0.00508817	104.857	0.178326	1.01565
80	16.1832	0.010715	1.3954	0.0700451	0.00256179	179.894	0.00515341	105.336	0.180612	1.01303
81	16.3754	0.0107003	1.4004	0.0685712	0.00258708	180.621	0.00521864	105.764	0.182898	1.0106
82	16.5676	0.0106826	1.40541	0.0671935	0.00261236	181.311	0.00528387	106.142	0.185184	1.00839
83	16.7598	0.0106621	1.41041	0.0659137	0.00263765	181.966	0.0053491	106.47	0.187471	1.00638
84	16.952	0.0106386	1.41542	0.0647335	0.00266294	182.586	0.00541434	106.747	0.189757	1.00457
85	17.1441	0.0106122	1.42042	0.0636544	0.00268822	183.172	0.00547957	106.973	0.192043	1.00298
86	17.3363	0.010583	1.42543	0.0626779	0.00271351	183.725	0.0055448	107.148	0.194329	1.0016
87	17.5285	0.0105511	1.43043	0.0618056	0.0027388	184.247	0.00561004	107.271	0.196616	1.00042
88	17.7207	0.0105164	1.43544	0.0610388	0.00276408	184.738	0.00567527	107.344	0.198902	0.99945
89	17.9129	0.010479	1.44044	0.0603791	0.00278937	185.198	0.0057405	107.365	0.201188	0.998689
90	18.1051	0.0104391	1.44545	0.0598279	0.00281466	185.631	0.00580574	107.336	0.203474	0.998134
91	18.2973	0.0103966	1.45045	0.0593864	0.00283995	186.036	0.00587097	107.256	0.205761	0.997783
92	18.4895	0.0103516	1.45546	0.0590562	0.00286523	186.414	0.0059362	107.126	0.208047	0.997636
93	18.6817	0.0103042	1.46046	0.0588384	0.00289052	186.767	0.00600143	106.946	0.210333	0.997689
94	18.8739	0.0102544	1.46547	0.0587345	0.00291581	187.096	0.00606667	106.717	0.212619	0.99794
95	19.0661	0.0102024	1.47047	0.0587457	0.00294109	187.402	0.0061319	106.439	0.214905	0.998387
96	19.2583	0.0101481	1.47548	0.0588732	0.00296638	187.686	0.00619713	106.114	0.217192	0.999027
97	19.4505	0.0100917	1.48048	0.0591183	0.00299167	187.949	0.00626237	105.741	0.219478	0.999855
98	19.6426	0.0100333	1.48549	0.0594822	0.00301696	188.192	0.0063276	105.321	0.221764	1.00087
99	19.8348	0.00997284	1.49049	0.0599661	0.00304224	188.417	0.00639283	104.856	0.22405	1.00206
100	20.027	0.00991049	1.4955	0.0605712	0.00306753	188.624	0.00645807	104.346	0.226337	1.00343
101	20.2192	0.00984632	1.5005	0.0612985	0.00309282	188.815	0.0065233	103.793	0.228623	1.00498
102	20.4114	0.0097804	1.50551	0.0621492	0.0031181	188.99	0.00658853	103.196	0.230909	1.00669
103	20.6036	0.00971282	1.51051	0.0631244	0.00314339	189.15	0.00665376	102.558	0.233195	1.00856
104	20.7958	0.00964367	1.51552	0.0642251	0.00316868	189.297	0.006719	101.88	0.235482	1.01059
105	20.988	0.00957303	1.52052	0.0654523	0.00319396	189.431	0.00678423	101.162	0.237768	1.01277
106	21.1802	0.00950098	1.52553	0.066807	0.00321925	189.552	0.00684946	100.406	0.240054	1.0151
107	21.3724	0.00942762	1.53053	0.0682901	0.00324454	189.663	0.0069147	99.6136	0.24234	1.01756
108	21.5646	0.00935302	1.53554	0.0699026	0.00326983	189.763	0.00697993	98.7855	0.244626	1.02016
109	21.7568	0.00927727	1.54054	0.0716451	0.00329511	189.853	0.00704516	97.9232	0.246913	1.02288
110	21.9489	0.00920046	1.54555	0.0735187	0.0033204	189.934	0.0071104	97.0282	0.249199	1.02573
111	22.1411	0.00912268	1.55055	0.0755239	0.00334569	190.006	0.00717563	96.1019	0.251485	1.02869
112	22.3333	0.00904402	1.55556	0.0776615	0.00337097	190.07	0.00724086	95.1456	0.253771	1.03175
113	22.5255	0.00896455	1.56056	0.079932	0.00339626	190.126	0.00730609	94.1609	0.256058	1.03492
114	22.7177	0.00888437	1.56557	0.082336	0.00342155	190.175	0.00737133	93.1492	0.258344	1.03817
115	22.9099	0.00880355	1.57057	0.084874	0.00344684	190.216	0.00743656	92.112	0.26063	1.04151
116	23.1021	0.00872219	1.57558	0.0875463	0.00347212	190.252	0.00750179	91.0509	0.262916	1.04493
117	23.2943	0.00864036	1.58058	0.0903533	0.00349741	190.28	0.00756703	89.9673	0.265202	1.04841
118	23.4865	0.00855814	1.58559	0.0932951	0.0035227	190.302	0.00763226	88.8627	0.267489	1.05196
119	23.6787	0.00847563	1.59059	0.0963719	0.00354798	190.318	0.00769749	87.7387	0.269775	1.05557
120	23.8709	0.00839288	1.5956	0.0995837	0.00357327	190.327	0.00776273	86.5968	0.272061	1.05921
121	24.0631	0.00830999	1.6006	0.10293	0.00359856	190.33	0.00782796	85.4385	0.274347	1.0629
122	24.2553	0.00822703	1.60561	0.106411	0.00362384	190.326	0.00789319	84.2653	0.276634	1.06662
123	24.4474	0.00814407	1.61061	0.110027	0.00364913	190.316	0.00795842	83.0788	0.27892	1.07036
124	24.6396	0.00806119	1.61562	0.113776	0.00367442	190.299	0.00802366	81.8803	0.281206	1.07412
125	24.8318	0.00797846	1.62062	0.117659	0.00369971	190.274	0.00808889	80.6713	0.283492	1.07788
126	25.024	0.00789593	1.62563	0.121674	0.00372499	190.242	0.00815412	79.4534	0.285779	1.08165
127	25.2162	0.0078137	1.63063	0.12582	0.00375028	190.203	0.00821936	78.2279	0.288065	1.0854
